
104,0,0,0,0,1,
100,0,0,0,0,1,
101,0,0,0,0,1,
102,0,0,0,0,1,
103,0,0,0,0,1,

201,-6.5, 1.5, ,,,,,,,,,,,,,
203,-1.5, 2.0, 0.5,1.0,0.3,5
203, 1.5, 2.0, 0.5,1.0,0.3,5
203,-1.5, 6.0, 0.5,1.0,0.3,5
203, 1.5, 6.0, 0.5,1.0,0.3,5
203,-4.5, 2.0, 0.5,1.0,0.3,5
203, 4.5, 2.0, 0.5,1.0,0.3,5
203,-3.0, 3.5, 2.0,0.5,0.3,5
203, 3.0, 3.5, 2.0,0.5,0.3,5
203, 0.0, 4.5, 2.0,0.5,0.3,5
203, 0.0, 7.5, 2.0,0.5,0.3,5

300, 0.0, 1.5, 0,0,1,1
300, 0.0, 5.5, 0,0,1,1
300, 0.0, 8.5, 0,0,1,1
300,-3.0, 1.5, 0,0,1,1
300,-3.0, 2.5, 0,0,1,1
300, 3.0, 1.5, 0,0,1,1
300, 3.0, 2.5, 0,0,1,1

400,0,0, -8,0, 20,0, 19,1, -7,1, 
400,0,0, -8,10, -7.5,9, -7,10, 
