189
101,0,0,0,0,1,
103,0,0,0,0,1,
103,0,0,0,0,1,
103,0,0,0,0,1,
103,0,0,0,0,1,
103,0,0,0,0,1,

201,-5.5, 0.5, ,,,,,,,,,,,,,
201,-0.5, 0.5, ,,,,,,,,,,,,,
201, 5.5, 1.2, ,,,,,,,,,,,,,
201, 10.6, 0.5, ,,,,,,,,,,,,,
201, 10.6, 1.5, ,,,,,,,,,,,,,
200,-4.25, 0.5, 0.25,0.5,0.3,5
200,-4.25, 2.1, 0.25,0.5,0.3,5
200,-1.7, 0.5, 0.25,0.5,0.3,5
200,-1.7, 2.1, 0.25,0.5,0.3,5
200,-3.0, 1.27, 1.5,0.25,0.3,5
200,-3.0, 2.5, 1.5,0.25,0.3,5
203, 0.7, 1.25, 0.25,1.25,0.3,5
203, 4.35, 1.25, 0.25,1.25,0.3,5
202, 1.25, 0.5, 0.5,0.5,0.3,5
202, 3.1, 0.5, 0.5,0.5,0.3,5
202, 2.6, 3.05, 0.5,0.5,0.3,5
202, 2.5, 1.5, 1.55,0.5,0.3,5
203, 2.5, 2.25, 1.55,0.25,0.3,5
202, 1.5, 8.5, 0.5,0.5,0.3,5
202, 3.6, 8.5, 0.5,0.5,0.3,5
200, 5.5, 0.25, 0.5,0.25,0.3,5
200, 6.5, 0.5, 0.5,0.5,0.3,5
200, 7.5, 0.75, 0.5,0.75,0.3,5
200, 8.5, 1.5, 0.5,0.5,0.3,5
200, 9.5, 1.25, 0.5,1.25,0.3,5
200, 11.6, 1.75, 0.5,1.75,0.3,5

300, -5.5, 1.5, 0,0,1,1
300, -3.5, 0.5, 0,0,1,1
300, -2.5, 0.5, 0,0,1,1
300, -3.5, 2.0, 0,0,1,1
300, -2.5, 2.0, 0,0,1,1
300, 2.6, 0.5, 0,0,1,1
300, 3.15, 3.05, 0,0,1,1
300, 2.5, 8.5, 0,0,1,1
300, 5.5, 1.75, 0,0,1,1
300, 8.5, 0.5, 0,0,1,1
300, 10.6, 2.5, 0,0,1,1

400,0,0, -10.5,4, -10.5,0, -6,0, -6,3
400,0,0, 4.6,0, 5.0,0, 5.0,2.5, 4.6,2.5
400,0,0, 1,8, 2.6,5.7, 4.2,8,
400,0,0, 12.1,0, 16.5,0, 16.5,4.5, 12.1,3.5,
